itemid,class
1_0,1
1_1,1
1_2,1
1_3,1
1_4,1
1_5,1
1_6,1
1_7,1
1_8,1
1_9,1
1_10,1
1_11,1
1_12,1
1_13,1
1_14,1
1_15,1
1_16,1
1_17,1
1_18,1
1_19,1
1_20,1
1_21,1
1_22,1
1_23,1
1_24,1
1_25,1
1_26,1
1_27,1
1_28,1
1_29,1
1_30,1
1_31,1
1_32,1
1_33,1
1_34,1
1_35,1
1_36,1
1_37,1
1_38,1
1_39,1
1_40,1
1_41,1
1_42,1
1_43,1
1_44,1
1_45,1
1_46,1
1_47,1
1_48,1
1_49,1
1_50,1
1_51,1
1_52,1
1_53,1
1_54,1
1_55,1
1_56,1
1_57,1
1_58,1
1_59,1
1_60,1
1_61,1
1_62,1
1_63,1
1_64,1
1_65,1
1_66,1
1_67,1
1_68,1
1_69,1
1_70,1
1_71,1
1_72,1
1_73,1
1_74,1
1_75,1
1_76,1
1_77,1
1_78,1
1_79,1
1_80,1
1_81,1
1_82,1
1_83,1
1_84,1
1_85,1
1_86,1
1_87,1
1_88,1
1_89,1
1_90,1
1_91,1
1_92,1
1_93,1
1_94,1
1_95,1
1_96,1
1_97,1
1_98,1
1_99,1
1_100,1
1_101,1
1_102,1
1_103,1
1_104,1
1_105,1
1_106,1
1_107,1
1_108,1
1_109,1
1_110,1
1_111,1
1_112,1
1_113,1
1_114,1
1_115,1
1_116,1
1_117,1
1_118,1
1_119,1
1_120,1
1_121,1
1_122,1
1_123,1
1_124,1
1_125,1
1_126,1
1_127,1
1_128,1
1_129,1
1_130,1
1_131,1
1_132,1
1_133,1
1_134,1
1_135,1
1_136,1
1_137,1
1_138,1
1_139,1
1_140,1
1_141,1
1_142,1
1_143,1
1_144,1
1_145,1
1_146,1
1_147,1
1_148,1
1_149,1
1_150,1
1_151,1
1_152,1
1_153,1
1_154,1
1_155,1
1_156,1
1_157,1
1_158,1
1_159,1
1_160,1
1_161,1
1_162,1
1_163,1
1_164,1
1_165,1
1_166,1
1_167,1
1_168,1
1_169,1
1_170,1
1_171,1
1_172,1
1_173,1
2_0,2
2_1,2
2_2,2
2_3,2
2_4,2
2_5,2
2_6,2
2_7,2
2_8,2
2_9,2
2_10,2
2_11,2
2_12,2
2_13,2
2_14,2
2_15,2
2_16,2
2_17,2
2_18,2
2_19,2
2_20,2
2_21,2
2_22,2
2_23,2
2_24,2
2_25,2
2_26,2
2_27,2
2_28,2
2_29,2
2_30,2
2_31,2
2_32,2
2_33,2
2_34,2
2_35,2
2_36,2
2_37,2
2_38,2
2_39,2
2_40,2
2_41,2
2_42,2
2_43,2
2_44,2
2_45,2
2_46,2
2_47,2
2_48,2
2_49,2
2_50,2
2_51,2
2_52,2
2_53,2
2_54,2
2_55,2
2_56,2
2_57,2
2_58,2
2_59,2
2_60,2
2_61,2
2_62,2
2_63,2
2_64,2
2_65,2
2_66,2
2_67,2
2_68,2
2_69,2
2_70,2
2_71,2
2_72,2
2_73,2
2_74,2
2_75,2
2_76,2
2_77,2
2_78,2
2_79,2
2_80,2
2_81,2
2_82,2
2_83,2
2_84,2
2_85,2
2_86,2
2_87,2
2_88,2
2_89,2
2_90,2
2_91,2
2_92,2
2_93,2
2_94,2
2_95,2
2_96,2
2_97,2
2_98,2
2_99,2
2_100,2
2_101,2
2_102,2
2_103,2
2_104,2
2_105,2
2_106,2
2_107,2
2_108,2
2_109,2
2_110,2
2_111,2
2_112,2
2_113,2
2_114,2
2_115,2
2_116,2
2_117,2
2_118,2
2_119,2
2_120,2
2_121,2
2_122,2
2_123,2
2_124,2
2_125,2
2_126,2
2_127,2
2_128,2
2_129,2
2_130,2
2_131,2
2_132,2
2_133,2
2_134,2
2_135,2
2_136,2
2_137,2
2_138,2
2_139,2
2_140,2
2_141,2
2_142,2
2_143,2
2_144,2
2_145,2
2_146,2
2_147,2
2_148,2
2_149,2
2_150,2
2_151,2
2_152,2
2_153,2
2_154,2
2_155,2
2_156,2
2_157,2
2_158,2
2_159,2
2_160,2
2_161,2
2_162,2
2_163,2
2_164,2
2_165,2
2_166,2
2_167,2
2_168,2
2_169,2
2_170,2
2_171,2
2_172,2
2_173,2
2_174,2
2_175,2
2_176,2
2_177,2
2_178,2
2_179,2
2_180,2
2_181,2
2_182,2
2_183,2
2_184,2
2_185,2
2_186,2
2_187,2
2_188,2
3_0,3
3_1,3
3_2,3
3_3,3
3_4,3
3_5,3
3_6,3
3_7,3
3_8,3
3_9,3
3_10,3
3_11,3
3_12,3
3_13,3
3_14,3
3_15,3
3_16,3
3_17,3
3_18,3
3_19,3
3_20,3
3_21,3
3_22,3
3_23,3
3_24,3
3_25,3
3_26,3
3_27,3
3_28,3
3_29,3
3_30,3
3_31,3
3_32,3
3_33,3
3_34,3
3_35,3
3_36,3
3_37,3
3_38,3
3_39,3
3_40,3
3_41,3
3_42,3
3_43,3
3_44,3
3_45,3
3_46,3
3_47,3
3_48,3
3_49,3
3_50,3
3_51,3
3_52,3
3_53,3
3_54,3
3_55,3
3_56,3
3_57,3
3_58,3
3_59,3
3_60,3
3_61,3
3_62,3
3_63,3
3_64,3
3_65,3
3_66,3
3_67,3
3_68,3
3_69,3
3_70,3
3_71,3
3_72,3
3_73,3
3_74,3
3_75,3
3_76,3
3_77,3
3_78,3
3_79,3
3_80,3
3_81,3
3_82,3
3_83,3
3_84,3
3_85,3
3_86,3
3_87,3
3_88,3
3_89,3
3_90,3
3_91,3
3_92,3
3_93,3
3_94,3
3_95,3
3_96,3
3_97,3
3_98,3
3_99,3
3_100,3
3_101,3
3_102,3
3_103,3
3_104,3
3_105,3
3_106,3
3_107,3
3_108,3
3_109,3
3_110,3
3_111,3
3_112,3
3_113,3
3_114,3
3_115,3
3_116,3
3_117,3
3_118,3
3_119,3
3_120,3
3_121,3
3_122,3
3_123,3
3_124,3
3_125,3
3_126,3
3_127,3
3_128,3
3_129,3
3_130,3
3_131,3
3_132,3
3_133,3
3_134,3
3_135,3
3_136,3
3_137,3
3_138,3
3_139,3
3_140,3
3_141,3
3_142,3
3_143,3
3_144,3
3_145,3
3_146,3
3_147,3
3_148,3
3_149,3
3_150,3
